PinCode,MccCode,Pincode_Mcccode,RegionName
534432,920,534432920,VIJAYAWADA
534452,918,534452918,VIJAYAWADA
521185,872,521185872,VIJAYAWADA
521182,871,521182871,VIJAYAWADA
521182,869,521182869,VIJAYAWADA
521185,868,521185868,VIJAYAWADA
521120,853,521120853,VIJAYAWADA
534451,846,534451846,VIJAYAWADA
534451,845,534451845,VIJAYAWADA
521120,841,521120841,VIJAYAWADA
533293,841,533293841,VIJAYAWADA
534451,840,534451840,VIJAYAWADA
534451,837,534451837,VIJAYAWADA
534425,832,534425832,VIJAYAWADA
534426,831,534426831,VIJAYAWADA
521207,822,521207822,VIJAYAWADA
521185,820,521185820,VIJAYAWADA
534426,819,534426819,VIJAYAWADA
521185,818,521185818,VIJAYAWADA
521185,817,521185817,VIJAYAWADA
521328,812,521328812,VIJAYAWADA
521185,811,521185811,VIJAYAWADA
521328,811,521328811,VIJAYAWADA
521328,810,521328810,VIJAYAWADA
533446,807,533446807,VIJAYAWADA
534426,807,534426807,VIJAYAWADA
521180,806,521180806,VIJAYAWADA
533446,806,533446806,VIJAYAWADA
534426,806,534426806,VIJAYAWADA
521190,805,521190805,VIJAYAWADA
533446,805,533446805,VIJAYAWADA
533407,804,533407804,VIJAYAWADA
521182,802,521182802,VIJAYAWADA
521456,801,521456801,VIJAYAWADA
533125,801,533125801,VIJAYAWADA
521180,800,521180800,VIJAYAWADA
521456,798,521456798,VIJAYAWADA
521182,797,521182797,VIJAYAWADA
521182,795,521182795,VIJAYAWADA
521182,794,521182794,VIJAYAWADA
521185,787,521185787,VIJAYAWADA
521456,775,521456775,VIJAYAWADA
521456,770,521456770,VIJAYAWADA
521185,768,521185768,VIJAYAWADA
521185,767,521185767,VIJAYAWADA
521180,761,521180761,VIJAYAWADA
521185,749,521185749,VIJAYAWADA
534312,735,534312735,VIJAYAWADA
521185,734,521185734,VIJAYAWADA
534318,734,534318734,VIJAYAWADA
521185,733,521185733,VIJAYAWADA
521185,732,521185732,VIJAYAWADA
534318,732,534318732,VIJAYAWADA
521456,731,521456731,VIJAYAWADA
534318,730,534318730,VIJAYAWADA
521120,729,521120729,VIJAYAWADA
534318,726,534318726,VIJAYAWADA
534318,725,534318725,VIJAYAWADA
521120,724,521120724,VIJAYAWADA
521121,722,521121722,VIJAYAWADA
534318,719,534318719,VIJAYAWADA
534318,713,534318713,VIJAYAWADA
507203,711,507203711,VIJAYAWADA
534318,711,534318711,VIJAYAWADA
534318,709,534318709,VIJAYAWADA
534318,707,534318707,VIJAYAWADA
534318,705,534318705,VIJAYAWADA
534318,704,534318704,VIJAYAWADA
534318,703,534318703,VIJAYAWADA
521182,700,521182700,VIJAYAWADA
521185,698,521185698,VIJAYAWADA
521182,690,521182690,VIJAYAWADA
521183,688,521183688,VIJAYAWADA
521183,687,521183687,VIJAYAWADA
521182,682,521182682,VIJAYAWADA
521183,679,521183679,VIJAYAWADA
522257,670,522257670,VIJAYAWADA
522264,668,522264668,VIJAYAWADA
521185,664,521185664,VIJAYAWADA
522410,663,522410663,VIJAYAWADA
522261,662,522261662,VIJAYAWADA
521185,661,521185661,VIJAYAWADA
522259,660,522259660,VIJAYAWADA
522259,659,522259659,VIJAYAWADA
522408,658,522408658,VIJAYAWADA
521185,657,521185657,VIJAYAWADA
522403,657,522403657,VIJAYAWADA
523302,655,523302655,VIJAYAWADA
507203,654,507203654,VIJAYAWADA
522412,654,522412654,VIJAYAWADA
522660,652,522660652,VIJAYAWADA
523265,651,523265651,VIJAYAWADA
522412,651,522412651,VIJAYAWADA
521182,650,521182650,VIJAYAWADA
522412,650,522412650,VIJAYAWADA
523265,649,523265649,VIJAYAWADA
522412,649,522412649,VIJAYAWADA
522257,648,522257648,VIJAYAWADA
522412,648,522412648,VIJAYAWADA
523265,647,523265647,VIJAYAWADA
522403,647,522403647,VIJAYAWADA
522324,646,522324646,VIJAYAWADA
522403,644,522403644,VIJAYAWADA
522408,643,522408643,VIJAYAWADA
522649,642,522649642,VIJAYAWADA
522257,642,522257642,VIJAYAWADA
522647,641,522647641,VIJAYAWADA
522647,640,522647640,VIJAYAWADA
522647,639,522647639,VIJAYAWADA
507301,639,507301639,VIJAYAWADA
523265,637,523265637,VIJAYAWADA
521183,637,521183637,VIJAYAWADA
533408,636,533408636,VIJAYAWADA
522403,635,522403635,VIJAYAWADA
522403,634,522403634,VIJAYAWADA
522647,633,522647633,VIJAYAWADA
507303,633,507303633,VIJAYAWADA
522647,632,522647632,VIJAYAWADA
521183,632,521183632,VIJAYAWADA
522601,630,522601630,VIJAYAWADA
533449,629,533449629,VIJAYAWADA
522647,628,522647628,VIJAYAWADA
507164,628,507164628,VIJAYAWADA
533408,627,533408627,VIJAYAWADA
522409,626,522409626,VIJAYAWADA
521182,625,521182625,VIJAYAWADA
521182,624,521182624,VIJAYAWADA
522403,624,522403624,VIJAYAWADA
522256,623,522256623,VIJAYAWADA
522403,623,522403623,VIJAYAWADA
523265,622,523265622,VIJAYAWADA
522403,622,522403622,VIJAYAWADA
533343,622,533343622,VIJAYAWADA
533294,621,533294621,VIJAYAWADA
523265,620,523265620,VIJAYAWADA
533437,620,533437620,VIJAYAWADA
522647,619,522647619,VIJAYAWADA
522403,619,522403619,VIJAYAWADA
534460,619,534460619,VIJAYAWADA
522408,617,522408617,VIJAYAWADA
507303,617,507303617,VIJAYAWADA
534462,614,534462614,VIJAYAWADA
521183,613,521183613,VIJAYAWADA
534461,613,534461613,VIJAYAWADA
533294,613,533294613,VIJAYAWADA
507303,613,507303613,VIJAYAWADA
533294,612,533294612,VIJAYAWADA
533431,611,533431611,VIJAYAWADA
522601,611,522601611,VIJAYAWADA
533344,611,533344611,VIJAYAWADA
507303,611,507303611,VIJAYAWADA
533435,610,533435610,VIJAYAWADA
533344,610,533344610,VIJAYAWADA
111111,101,111111101,RAI
507303,610,507303610,VIJAYAWADA
533431,609,533431609,VIJAYAWADA
507303,609,507303609,VIJAYAWADA
522403,607,522403607,VIJAYAWADA
533346,607,533346607,VIJAYAWADA
507209,607,507209607,VIJAYAWADA
533435,606,533435606,VIJAYAWADA
533408,606,533408606,VIJAYAWADA
507164,606,507164606,VIJAYAWADA
533431,605,533431605,VIJAYAWADA
533408,605,533408605,VIJAYAWADA
507303,605,507303605,VIJAYAWADA
533429,604,533429604,VIJAYAWADA
522647,603,522647603,VIJAYAWADA
533435,603,533435603,VIJAYAWADA
507303,603,507303603,VIJAYAWADA
507164,602,507164602,VIJAYAWADA
534462,601,534462601,VIJAYAWADA
533003,601,533003601,VIJAYAWADA
533437,600,533437600,VIJAYAWADA
522309,599,522309599,VIJAYAWADA
522259,595,522259595,VIJAYAWADA
522403,592,522403592,VIJAYAWADA
522403,591,522403591,VIJAYAWADA
522301,590,522301590,VIJAYAWADA
534437,590,534437590,VIJAYAWADA
534007,589,534007589,VIJAYAWADA
533437,589,533437589,VIJAYAWADA
521207,588,521207588,VIJAYAWADA
534450,587,534450587,VIJAYAWADA
534003,584,534003584,VIJAYAWADA
522403,584,522403584,VIJAYAWADA
522403,582,522403582,VIJAYAWADA
522261,579,522261579,VIJAYAWADA
522261,574,522261574,VIJAYAWADA
521105,573,521105573,VIJAYAWADA
534007,569,534007569,VIJAYAWADA
522313,567,522313567,VIJAYAWADA
521214,567,521214567,VIJAYAWADA
534460,566,534460566,VIJAYAWADA
533346,565,533346565,VIJAYAWADA
522261,563,522261563,VIJAYAWADA
533343,563,533343563,VIJAYAWADA
533124,563,533124563,VIJAYAWADA
522261,559,522261559,VIJAYAWADA
534003,559,534003559,VIJAYAWADA
534460,559,534460559,VIJAYAWADA
534134,558,534134558,VIJAYAWADA
522313,558,522313558,VIJAYAWADA
533437,558,533437558,VIJAYAWADA
533343,558,533343558,VIJAYAWADA
533240,558,533240558,VIJAYAWADA
534217,557,534217557,VIJAYAWADA
522202,557,522202557,VIJAYAWADA
533437,557,533437557,VIJAYAWADA
521207,557,521207557,VIJAYAWADA
522413,555,522413555,VIJAYAWADA
522261,554,522261554,VIJAYAWADA
533126,554,533126554,VIJAYAWADA
522615,551,522615551,VIJAYAWADA
534460,550,534460550,VIJAYAWADA
534460,549,534460549,VIJAYAWADA
534452,549,534452549,VIJAYAWADA
522615,547,522615547,VIJAYAWADA
522615,546,522615546,VIJAYAWADA
534460,543,534460543,VIJAYAWADA
534342,541,534342541,VIJAYAWADA
534003,541,534003541,VIJAYAWADA
534217,540,534217540,VIJAYAWADA
500003,540,500003540,VIJAYAWADA
534324,539,534324539,VIJAYAWADA
521301,539,521301539,VIJAYAWADA
534460,539,534460539,VIJAYAWADA
534460,538,534460538,VIJAYAWADA
534326,537,534326537,VIJAYAWADA
534467,536,534467536,VIJAYAWADA
521110,535,521110535,VIJAYAWADA
534451,534,534451534,VIJAYAWADA
533220,533,533220533,VIJAYAWADA
533216,532,533216532,VIJAYAWADA
533221,531,533221531,VIJAYAWADA
534312,531,534312531,VIJAYAWADA
534146,529,534146529,VIJAYAWADA
534301,528,534301528,VIJAYAWADA
533577,528,533577528,VIJAYAWADA
521201,528,521201528,VIJAYAWADA
522261,527,522261527,VIJAYAWADA
534342,526,534342526,VIJAYAWADA
522261,526,522261526,VIJAYAWADA
534134,525,534134525,VIJAYAWADA
533437,525,533437525,VIJAYAWADA
533005,525,533005525,VIJAYAWADA
534301,524,534301524,VIJAYAWADA
534217,523,534217523,VIJAYAWADA
534451,523,534451523,VIJAYAWADA
